가로등위치명,위도,경도
세종특별자치시 소담동 32-78,36.4787027,127.3000241
세종특별자치시 다정동 산33,36.4932723,127.2405912
세종특별자치시 소담동 32-78,36.4786413,127.2998542
세종특별자치시 다정동 산33,36.4927787,127.2409196
세종특별자치시 소담동 32-78,36.4785827,127.2996936
세종특별자치시 다정동 산33,36.492294,127.2412369
세종특별자치시 소담동 32-78,36.478522,127.2995325
세종특별자치시 대평동 268-12,36.468499,127.2771631
세종특별자치시 소담동 32-78,36.4791365,127.301535
세종특별자치시 다정동 산33,36.4918186,127.2415875
세종특별자치시 소담동 32-78,36.4790886,127.3013397
세종특별자치시 다정동 산33,36.4913975,127.2419711
세종특별자치시 소담동 32-78,36.4790308,127.3011339
세종특별자치시 다정동 산33,36.4909944,127.2423657
세종특별자치시 소담동 32-78,36.4789761,127.3009294
세종특별자치시 가람동 952,36.4779433,127.2459965
세종특별자치시 소담동 9-59,36.47982545,127.3038907
세종특별자치시 가람동 952,36.4776651,127.2466018
세종특별자치시 소담동 9-59,36.4798693,127.3040827
세종특별자치시 가람동 952,36.4729753,127.250363
세종특별자치시 소담동 9-59,36.4788814,127.2996751
세종특별자치시 가람동 952,36.4732164,127.2500036
세종특별자치시 소담동 9-59,36.4790096,127.300045
